sequence_number,rtt_ms,bytes_received,status
857,0.092,1328,SUCCESS
858,0.089,29,SUCCESS
859,0.094,1328,SUCCESS
860,0.085,29,SUCCESS
861,0.085,1328,SUCCESS
862,0.074,29,SUCCESS
863,0.080,1328,SUCCESS
864,0.080,29,SUCCESS
865,0.089,1328,SUCCESS
866,0.082,29,SUCCESS
867,0.089,1328,SUCCESS
868,0.082,29,SUCCESS
869,0.094,1328,SUCCESS
870,0.085,29,SUCCESS
871,0.086,1328,SUCCESS
872,0.088,29,SUCCESS
873,0.091,1328,SUCCESS
874,0.084,29,SUCCESS
875,0.094,1328,SUCCESS
876,0.085,29,SUCCESS
877,0.092,1328,SUCCESS
878,0.087,29,SUCCESS
879,0.092,1328,SUCCESS
880,0.086,29,SUCCESS
881,0.094,1328,SUCCESS
882,0.086,29,SUCCESS
883,0.090,1328,SUCCESS
884,0.091,29,SUCCESS
885,0.096,1328,SUCCESS
886,0.084,29,SUCCESS
887,0.087,1328,SUCCESS
888,0.085,29,SUCCESS
889,0.090,1328,SUCCESS
890,0.081,29,SUCCESS
891,0.088,1328,SUCCESS
892,0.089,29,SUCCESS
893,0.091,1328,SUCCESS
894,0.085,29,SUCCESS
